Short_Name,Lat,Long
CARROLL,41.742517,-87.696012
CARSON,41.793272,-87.6878
CARTER,41.789828,-87.622453
CARVER G,41.653702,-87.599516
ALDRIDGE,41.657405,-87.606474
CASSELL,41.687347,-87.703215
GREELEY,41.95281,-87.65098
CHALMERS,41.866435,-87.695259
CHAPPELL,41.975894,-87.683264
CHASE,41.917993,-87.694562
CHOPIN,41.896713,-87.688937
CHRISTOPHER,41.801659,-87.685607
CLAY,41.654558,-87.544614
CLEVELAND,41.952042,-87.706443
CLINTON,41.992541,-87.69836
CLISSOLD,41.693026,-87.680897
COLES,41.741413,-87.56597
COLUMBUS,41.899566,-87.681938
COOK,41.745237,-87.659775
JORDAN,42.017088,-87.677763
COONLEY,41.955553,-87.683765
COOPER,41.856031,-87.667227
LANGFORD,41.784681,-87.657169
CORKERY,41.845602,-87.731193
VICK,41.688191,-87.685677
PEREZ,41.856029,-87.65798
CROWN,41.852663,-87.71247
DIRKSEN,41.973715,-87.841041
DARWIN,41.923323,-87.705413
DAVIS N,41.821852,-87.700202
DAWES,41.745078,-87.717353
DECATUR,42.009289,-87.704619
DENEEN,41.76249,-87.623345
DEVER,41.942552,-87.813132
DEWEY,41.795646,-87.642652
DIXON,41.743669,-87.609979
DODGE,41.889184,-87.703794
DOOLITTLE,41.831121,-87.612275
DORE,41.780954,-87.787604
DRAKE,41.844043,-87.628553
TURNER-DREW,41.725609,-87.630164
DRUMMOND,41.915914,-87.674495
EARLE,41.781225,-87.675547
EBERHART,41.77442,-87.707953
EBINGER,42.004408,-87.81117
CURTIS,41.685418,-87.621653
EDGEBROOK,41.999437,-87.76184
METCALFE,41.669444,-87.634306
EDWARDS,41.805542,-87.725856
ELLINGTON,41.88553,-87.766589
ERICSON,41.875744,-87.715804
ESMOND,41.68942,-87.669159
EVERETT,41.831555,-87.68131
FALCONER,41.935785,-87.749331
FARNSWORTH,41.97979,-87.766072
FERNWOOD,41.711184,-87.640414
FIELD,42.009664,-87.669985
FISKE,41.785183,-87.608633
KANOON,41.850771,-87.705112
TELPOCHCALLI,41.847947,-87.696006
BELMONT-CRAGIN,41.92015,-87.756843
FORT DEARBORN,41.729673,-87.655481
KELLMAN,41.870168,-87.702163
FRANKLIN,41.9066,-87.635513
FOSTER PARK,41.738425,-87.668099
FULLER,41.818003,-87.611784
FULTON,41.79758,-87.668436
FUNSTON,41.917617,-87.716892
GALE,42.021091,-87.671939
GALLISTEL,41.706801,-87.535175
GARVY,41.976352,-87.796235
GARY,41.837065,-87.718697
GILLESPIE,41.725332,-87.623719
RANDOLPH,41.760614,-87.675966
GOETHE,41.922831,-87.6929
OWENS,41.670618,-87.622546
GRISSOM,41.662481,-87.553307
GOUDY,41.975817,-87.657912
GRAHAM ES,41.813304,-87.643344
GRAY,41.948764,-87.757116
ORTIZ DE DOMINGUEZ,41.838791,-87.71719
ARIEL,41.811173,-87.597503
GREENE,41.829669,-87.671492
GREGORY,41.870742,-87.718666
GRESHAM,41.73892,-87.645025
GRIMES,41.775464,-87.758803
GUNSAULUS,41.813007,-87.699364
HAINES,41.849958,-87.633806
HALE,41.780192,-87.776579
NINOS HEROES,41.743753,-87.551862
HAMILTON,41.94522,-87.670865
HAMLINE,41.807242,-87.661175
HAMMOND,41.852719,-87.696243
FINKL,41.849215,-87.685668
MCAULIFFE,41.914816,-87.723931
HARTE,41.793447,-87.586855
HARVARD,41.757341,-87.632737
HAUGAN,41.964029,-87.723128
ZAPATA,41.841394,-87.734313
HAWTHORNE,41.942275,-87.657709
HAY,41.899171,-87.755813
HAYT,41.994541,-87.668504
WOODLAWN,41.773366,-87.594392
SMITH,41.707558,-87.60466
HEALY,41.839595,-87.640341
HEARST,41.808175,-87.745726
HEDGES,41.807112,-87.673327
HEFFERAN,41.878665,-87.735802
HENDERSON,41.790591,-87.671887
HENDRICKS,41.815788,-87.633664
HENRY,41.958989,-87.715632
SOUTH LOOP,41.866875,-87.628615
HERZL,41.862081,-87.718994
LARA,41.80977,-87.672182
HIBBARD,41.970335,-87.710362
HITCH,41.983672,-87.779123
HOLDEN,41.838027,-87.653792
HOLMES,41.793788,-87.649795
HOWE,41.893612,-87.759398
HOYNE,41.733338,-87.568228
CUFFE,41.742452,-87.653633
CULLEN,41.700335,-87.611244
HUGHES C,41.860518,-87.731777
HURLEY,41.766785,-87.719541
GALILEO,41.871255,-87.653366
JAHN,41.939247,-87.67581
JAMIESON,41.984641,-87.700529
JENNER,41.902055,-87.641056
PILSEN,41.858849,-87.662209
JUNGMAN,41.858065,-87.652302
KELLOGG,41.725263,-87.677233
SAUCEDO,41.847941,-87.697316
KERSHAW,41.776453,-87.640892
CASALS,41.904503,-87.714234
KILMER,42.00364,-87.668222
CARDENAS,41.848488,-87.716017
KINZIE,41.789965,-87.779483
KIPLING,41.723627,-87.639521
LOZANO,41.908886,-87.665093
KOZMINSKI,41.798002,-87.602481
GREEN,41.719292,-87.6525
LASALLE,41.9139,-87.637565
LAWNDALE,41.86296,-87.712957
LEWIS,41.906826,-87.75455
LIBBY,41.797685,-87.659933
LINCOLN,41.924525,-87.644497
VON LINNE,41.940009,-87.702635
LLOYD,41.918814,-87.748515
LOCKE J,41.931762,-87.795604
LOVETT,41.912718,-87.783919
LOWELL,41.90652,-87.710217
LYON,41.934192,-87.777174
MADISON,41.759548,-87.590712
MANIERRE,41.908247,-87.639827
NORTHWEST,41.920155,-87.758154
MANN,41.748274,-87.574816
MARQUETTE,41.773881,-87.69703
MARSH,41.716588,-87.552483
FARADAY,41.879714,-87.708092
MASON,41.856864,-87.731672
FAIRFIELD,41.780904,-87.692115
MAYER,41.923204,-87.657287
JACKSON A,41.8743,-87.660985
MCCLELLAN,41.829993,-87.641103
MCCORMICK,41.842267,-87.7063
TILL,41.775424,-87.609357
MCDADE,41.73455,-87.619214
MCKAY,41.768143,-87.691787
HANSON PARK,41.923955,-87.761515
MCPHERSON,41.967847,-87.676288
MITCHELL,41.892082,-87.683185
MONROE,41.929989,-87.719224
MONTEFIORE,41.864724,-87.666444
MOOS,41.912505,-87.696941
MORRILL,41.784313,-87.688549
INTER-AMERICAN,41.949003,-87.651573
SHERIDAN,41.8444,-87.64134
MOUNT GREENWOOD,41.695734,-87.70581
BEARD,41.970125,-87.78963
KELLER,41.69717,-87.697278
MOUNT VERNON,41.701952,-87.647652
BLAIR,41.776556,-87.790604
MOZART,41.92091,-87.721888
MURPHY,41.950078,-87.716832
MURRAY,41.798535,-87.59334
BROWN R,41.664873,-87.638958
NASH,41.89181,-87.747936
NEIL,41.738407,-87.620933
NETTELHORST,41.941637,-87.644561
NEWBERRY,41.913947,-87.64599
NIGHTINGALE,41.797714,-87.689139
NIXON,41.919581,-87.73142
NOBEL,41.906155,-87.729955
NORWOOD PARK,41.988153,-87.802979
WEST PARK,41.906907,-87.732443
OGLESBY,41.75467,-87.645469
OKEEFFE,41.768602,-87.572806
ONAHAN,41.99379,-87.793108
ORIOLE PARK,41.978501,-87.812054
PICCOLO,41.90014,-87.731261
OTIS,41.891806,-87.665426
OTOOLE,41.774571,-87.674865
OWEN,41.74285,-87.705749
WELLS ES,41.827355,-87.61978
PALMER,41.973289,-87.739213
PARKER,41.77078,-87.634086
PARK MANOR,41.766477,-87.611546
PARKSIDE,41.768555,-87.582954
PASTEUR,41.786895,-87.732666
PECK,41.787899,-87.719216
IRVING,41.871595,-87.683616
PEIRCE,41.983456,-87.66585
PENN,41.858372,-87.722386
WASHINGTON H ES,41.728534,-87.596257
RUIZ,41.848101,-87.680745
PERSHING,41.836527,-87.618338
PETERSON,41.981557,-87.712583
GARVEY,41.706603,-87.647577
PICKARD,41.8529,-87.683291
PIRIE,41.74034,-87.607891
PLAMONDON,41.860259,-87.692526
POE,41.70263,-87.606419
WARD L,41.893236,-87.718797
PORTAGE PARK,41.956988,-87.761007
PRESCOTT,41.928841,-87.669528
PRUSSING,41.965619,-87.772414
PULASKI,41.918486,-87.683801
PULLMAN,41.688819,-87.609431
RAVENSWOOD,41.960746,-87.670922
RAY,41.792348,-87.594752
REAVIS,41.804174,-87.604925
REILLY,41.941094,-87.719541
REINBERG,41.943019,-87.768983
REVERE,41.764196,-87.600177
ROGERS,42.015265,-87.697185
CHAVEZ,41.807143,-87.666037
RUGGLES,41.751946,-87.618066
RYDER,41.735379,-87.638843
SAUGANASH,41.991169,-87.745951
SAWYER,41.797498,-87.705006
SAYRE,41.914151,-87.798721
SCAMMON,41.941678,-87.732179
STOCK,42.016892,-87.814195
SCHUBERT,41.930403,-87.76119
SEWARD,41.810333,-87.668772
COLUMBIA EXPLORERS,41.811069,-87.704199
MIRELES,41.731717,-87.552788
SHERMAN,41.799766,-87.650221
SHERWOOD,41.7908,-87.632279
SHIELDS,41.815909,-87.689647
SHOESMITH,41.804294,-87.593905
SHOOP,41.690919,-87.658669
SKINNER,41.879103,-87.659419
SCHMID,41.716989,-87.596932
SMYSER,41.958868,-87.781975
SMYTH,41.865351,-87.653445
SOLOMON,41.993942,-87.724043
SPENCER,41.884876,-87.750445
STEVENSON,41.747107,-87.731666
DUNNE,41.696496,-87.639974
STONE,41.995359,-87.684793
STOWE,41.911938,-87.713318
NEW SULLIVAN,41.743829,-87.542928
SUMNER,41.870828,-87.733524
SUTHERLAND,41.711445,-87.676821
SWIFT,41.989139,-87.658296
TALCOTT,41.892405,-87.673723
TAYLOR,41.71547,-87.532971
COLEMON,41.677505,-87.658111
THORP J,41.733324,-87.54428
THORP O,41.948571,-87.777631
TILTON,41.884102,-87.730566
TONTI,41.787523,-87.708179
TWAIN,41.799046,-87.758928
VANDERPOEL,41.720817,-87.665559
LAVIZZO,41.696262,-87.627148
VOLTA,41.971634,-87.724605
ALBANY PARK,41.971504,-87.710609
WADSWORTH,41.773478,-87.601018
MADERO,41.840957,-87.705064
WALSH,41.854836,-87.648086
WARD J,41.84398,-87.635356
WARREN,41.726763,-87.575353
WASHINGTON G ES,41.688131,-87.536015
WATERS,41.964365,-87.691333
WEBSTER,41.869916,-87.727524
WENTWORTH,41.765076,-87.658205
WHISTLER,41.683907,-87.655384
SANDOVAL,41.792346,-87.710987
WHITNEY,41.84008,-87.725546
WHITTIER,41.850481,-87.673392
PRITZKER,41.907053,-87.677761
WILDWOOD,42.007491,-87.778345
NATIONAL TEACHERS,41.8528,-87.629308
YATES,41.915039,-87.70028
YOUNG ES,41.906791,-87.767143
BEETHOVEN,41.809135,-87.627137
BOND,41.765361,-87.653018
DALEY,41.802343,-87.672206
BRENNEMANN,41.959984,-87.649749
CLARK HS,41.872885,-87.753325
DOUGLASS HS,41.890369,-87.767668
BEASLEY,41.798465,-87.625692
CHICAGO ACADEMY ES,41.943056,-87.778187
TALMAN,41.794048,-87.690261
SALAZAR,41.901417,-87.633632
CATHER,41.88295,-87.699187
DETT,41.87987,-87.680315
DVORAK,41.858883,-87.715744
ROBINSON,41.817349,-87.599067
MORTON,41.889178,-87.705108
DULLES,41.7799,-87.617214
ASHE,41.740184,-87.601174
MCCUTCHEON,41.970949,-87.654758
JENSEN,41.873815,-87.702241
JOHNSON,41.861836,-87.703139
MOLLISON,41.814358,-87.616618
TANNER,41.760673,-87.606791
POWELL,41.760332,-87.556789
MCNAIR,41.897819,-87.746731
NEW FIELD,42.007703,-87.673168
ASHBURN,41.742351,-87.70961
MAYS,41.772727,-87.637277
LEE,41.775305,-87.728884
MELODY,41.878799,-87.724661
HIGGINS,41.681031,-87.646994
LENART,41.747186,-87.62804
KING ES,41.765335,-87.641335
WESTCOTT,41.748868,-87.634751
PHOENIX MILITARY HS,41.879118,-87.68696
LELAND,41.873587,-87.749276
RUDOLPH,41.883568,-87.669477
MCDOWELL,41.733132,-87.589589
DE DIEGO,41.905294,-87.685756
WHITE,41.672309,-87.650539
EARHART,41.726107,-87.582182
BRIGHTON PARK,41.8239,-87.692077
EVERGREEN,41.829356,-87.667817
MARSHALL MIDDLE,41.952492,-87.719988
BOWEN HS,41.734627,-87.55755
LOGANDALE,41.93397,-87.708041
OROZCO,41.857755,-87.67521
RABY HS,41.88621,-87.715423
STAGG,41.758925,-87.649217
CHICAGO ACADEMY HS,41.943054,-87.776847
